winner,outcome,date,venue,toss_winner,toss_decision,team1,team2
United Arab Emirates,,2020-02-27,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Kuwait,field,Kuwait,United Arab Emirates
Singapore,,2020-02-29,Terdthai Cricket Ground,Thailand,field,Thailand,Singapore
Malaysia,,2020-03-01,Terdthai Cricket Ground,Thailand,bat,Thailand,Malaysia
Hong Kong,,2020-03-01,Terdthai Cricket Ground,Nepal,field,Hong Kong,Nepal
Hong Kong,,2020-03-03,Terdthai Cricket Ground,Thailand,bat,Thailand,Hong Kong
Singapore,,2020-03-03,Terdthai Cricket Ground,Singapore,bat,Malaysia,Singapore
Singapore,,2020-03-04,Terdthai Cricket Ground,Singapore,bat,Hong Kong,Singapore
West Indies,,2020-03-04,Pallekele International Cricket Stadium,West Indies,bat,Sri Lanka,West Indies
Nepal,,2020-03-04,Terdthai Cricket Ground,Thailand,bat,Thailand,Nepal
West Indies,,2020-03-06,Pallekele International Cricket Stadium,West Indies,field,Sri Lanka,West Indies
Hong Kong,,2020-03-06,Terdthai Cricket Ground,Malaysia,bat,Hong Kong,Malaysia
Spain,,2020-03-08,Desert Springs Cricket Ground,Spain,field,Spain,Germany
Germany,,2020-03-08,Desert Springs Cricket Ground,Spain,field,Spain,Germany
Bangladesh,,2020-03-09,"Shere Bangla National Stadium, Mirpur",Zimbabwe,field,Bangladesh,Zimbabwe
Bangladesh,,2020-03-11,"Shere Bangla National Stadium, Mirpur",Bangladesh,field,Bangladesh,Zimbabwe
Guernsey,,2020-08-21,College Field,Isle of Man,bat,Isle of Man,Guernsey
Belgium,,2020-08-29,Pierre Werner Cricket Ground,Belgium,bat,Belgium,Luxembourg
Belgium,,2020-08-30,Pierre Werner Cricket Ground,Belgium,bat,Belgium,Czech Republic
Belgium,,2020-08-30,Pierre Werner Cricket Ground,Belgium,bat,Belgium,Luxembourg
England,,2020-08-30,Old Trafford,England,field,Pakistan,England
Pakistan,,2020-09-01,Old Trafford,England,field,Pakistan,England
England,,2020-09-04,The Rose Bowl,Australia,field,England,Australia
England,,2020-09-06,The Rose Bowl,Australia,bat,Australia,England
Australia,,2020-09-08,The Rose Bowl,Australia,field,England,Australia
Bulgaria,,2020-10-16,Moara Vlasiei Cricket Ground,Bulgaria,bat,Bulgaria,Romania
Romania,,2020-10-17,Moara Vlasiei Cricket Ground,Romania,bat,Romania,Bulgaria
Romania,,2020-10-18,Moara Vlasiei Cricket Ground,Bulgaria,bat,Bulgaria,Romania
Pakistan,,2020-11-07,Rawalpindi Cricket Stadium,Zimbabwe,bat,Zimbabwe,Pakistan
