winner,outcome,date,venue,toss_winner,toss_decision,team1,team2
Denmark,,2023-05-18,"Svanholm Park, Brondby",Denmark,bat,Denmark,Finland
Denmark,,2023-05-18,"Svanholm Park, Brondby",Norway,bat,Norway,Denmark
Sweden,,2023-05-19,"Svanholm Park, Brondby",Sweden,field,Denmark,Sweden
Denmark,,2023-05-19,"Svanholm Park, Brondby",Finland,bat,Finland,Denmark
Norway,,2023-05-20,"Solvangs Park, Glostrup",Finland,bat,Finland,Norway
Germany,,2023-06-10,Bayer Uerdingen Cricket Ground,Germany,field,Belgium,Germany
Kenya,,2023-06-10,"Gymkhana Club Ground, Nairobi",Kenya,bat,Kenya,Uganda
Uganda,,2023-06-11,"Gymkhana Club Ground, Nairobi",Rwanda,bat,Rwanda,Uganda
Kenya,,2023-06-11,"Gymkhana Club Ground, Nairobi",Botswana,bat,Botswana,Kenya
Germany,,2023-06-11,Bayer Uerdingen Cricket Ground,Germany,field,Belgium,Germany
Czech Republic,,2023-06-11,"Scott Page Field, Vinor",Hungary,bat,Hungary,Czech Republic
Uganda,,2023-06-13,"Gymkhana Club Ground, Nairobi",Uganda,bat,Uganda,Kenya
Rwanda,,2023-06-13,"Gymkhana Club Ground, Nairobi",Botswana,field,Rwanda,Botswana
Uganda,,2023-06-14,"Gymkhana Club Ground, Nairobi",Uganda,bat,Uganda,Botswana
Kenya,,2023-06-14,"Gymkhana Club Ground, Nairobi",Rwanda,bat,Rwanda,Kenya
Uganda,,2023-06-15,"Gymkhana Club Ground, Nairobi",Uganda,field,Rwanda,Uganda
Botswana,,2023-06-15,"Gymkhana Club Ground, Nairobi",Botswana,bat,Botswana,Kenya
Kenya,,2023-06-17,"Gymkhana Club Ground, Nairobi",Rwanda,bat,Rwanda,Kenya
Uganda,,2023-06-17,"Gymkhana Club Ground, Nairobi",Botswana,bat,Botswana,Uganda
Uganda,,2023-06-18,"Gymkhana Club Ground, Nairobi",Kenya,bat,Kenya,Uganda
Rwanda,,2023-06-18,"Gymkhana Club Ground, Nairobi",Botswana,bat,Botswana,Rwanda
Uganda,,2023-06-19,"Gymkhana Club Ground, Nairobi",Uganda,bat,Uganda,Rwanda
Kenya,,2023-06-19,"Gymkhana Club Ground, Nairobi",Botswana,bat,Botswana,Kenya
Uganda,,2023-06-21,"Gymkhana Club Ground, Nairobi",Uganda,bat,Uganda,Kenya
Serbia,,2023-06-23,"National Sports Academy, Sofia",Serbia,field,Bulgaria,Serbia
Serbia,,2023-06-23,"National Sports Academy, Sofia",Serbia,bat,Serbia,Turkey
Bulgaria,,2023-06-23,"National Sports Academy, Sofia",Bulgaria,field,Croatia,Bulgaria
Serbia,,2023-06-24,"National Sports Academy, Sofia",Croatia,bat,Croatia,Serbia
Turkey,,2023-06-24,"National Sports Academy, Sofia",Croatia,bat,Croatia,Turkey
Bulgaria,,2023-06-24,"National Sports Academy, Sofia",Bulgaria,field,Turkey,Bulgaria
Germany,,2023-06-29,"Sportpark Het Schootsveld, Deventer",Germany,field,Austria,Germany
Germany,,2023-06-30,"Sportpark Het Schootsveld, Deventer",Germany,field,Austria,Germany
France,,2023-07-10,Marsa Sports Club,Malta,field,France,Malta
Malta,,2023-07-10,Marsa Sports Club,Malta,bat,Malta,France
Malta,,2023-07-11,Marsa Sports Club,Luxembourg,field,Malta,Luxembourg
France,,2023-07-11,Marsa Sports Club,France,bat,France,Luxembourg
France,,2023-07-12,Marsa Sports Club,France,bat,France,Malta
France,,2023-07-12,Marsa Sports Club,Luxembourg,bat,Luxembourg,France
Luxembourg,,2023-07-12,Marsa Sports Club,Malta,bat,Malta,Luxembourg
Switzerland,,2023-07-13,Marsa Sports Club,Switzerland,field,Romania,Switzerland
Malta,,2023-07-13,Marsa Sports Club,Malta,field,Luxembourg,Malta
France,,2023-07-13,Marsa Sports Club,France,bat,France,Romania
Malta,,2023-07-14,Marsa Sports Club,Malta,bat,Malta,Romania
Switzerland,,2023-07-14,Marsa Sports Club,France,bat,France,Switzerland
Switzerland,,2023-07-14,Marsa Sports Club,Switzerland,field,Luxembourg,Switzerland
Luxembourg,,2023-07-15,Marsa Sports Club,Romania,bat,Romania,Luxembourg
Switzerland,,2023-07-15,Marsa Sports Club,Switzerland,field,Malta,Switzerland
Luxembourg,,2023-07-15,Marsa Sports Club,France,bat,France,Luxembourg
Romania,,2023-07-16,Marsa Sports Club,Romania,field,Luxembourg,Romania
Switzerland,,2023-07-16,Marsa Sports Club,Malta,bat,Malta,Switzerland
Malta,,2023-07-16,Marsa Sports Club,France,bat,France,Malta
Jersey,,2023-07-20,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Jersey,field,Austria,Jersey
Ireland,,2023-07-20,"Goldenacre, Edinburgh",Italy,field,Ireland,Italy
Scotland,,2023-07-20,"Goldenacre, Edinburgh",Germany,field,Scotland,Germany
Ireland,,2023-07-21,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Denmark,bat,Denmark,Ireland
Scotland,,2023-07-21,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Jersey,field,Scotland,Jersey
Germany,,2023-07-21,"Goldenacre, Edinburgh",Austria,bat,Austria,Germany
Papua New Guinea,,2023-07-22,"Amini Park, Port Moresby",Vanuatu,bat,Vanuatu,Papua New Guinea
Japan,,2023-07-22,"Amini Park, Port Moresby",Japan,bat,Japan,Philippines
Japan,,2023-07-23,"Amini Park, Port Moresby",Vanuatu,field,Japan,Vanuatu
Ireland,,2023-07-23,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Austria,field,Ireland,Austria
Germany,,2023-07-23,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Denmark,bat,Denmark,Germany
Italy,,2023-07-23,"Goldenacre, Edinburgh",Jersey,field,Italy,Jersey
Scotland,,2023-07-24,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Italy,field,Scotland,Italy
Denmark,,2023-07-24,"Goldenacre, Edinburgh",Denmark,field,Austria,Denmark
Ireland,,2023-07-24,"Goldenacre, Edinburgh",Ireland,field,Jersey,Ireland
Scotland,,2023-07-25,"Goldenacre, Edinburgh",Austria,field,Scotland,Austria
Philippines,,2023-07-25,"Amini Park, Port Moresby",Vanuatu,bat,Vanuatu,Philippines
Italy,,2023-07-25,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Denmark,field,Italy,Denmark
Jersey,,2023-07-25,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Germany,field,Jersey,Germany
Papua New Guinea,,2023-07-25,"Amini Park, Port Moresby",Japan,bat,Japan,Papua New Guinea
Malaysia,,2023-07-26,"Bayuemas Oval, Kuala Lumpur",China,bat,China,Malaysia
Bhutan,,2023-07-26,"Bayuemas Oval, Kuala Lumpur",Bhutan,bat,Bhutan,Myanmar
Japan,,2023-07-26,"Amini Park, Port Moresby",Japan,bat,Japan,Philippines
Papua New Guinea,,2023-07-26,"Amini Park, Port Moresby",Papua New Guinea,bat,Papua New Guinea,Vanuatu
Thailand,,2023-07-27,"Bayuemas Oval, Kuala Lumpur",Thailand,field,China,Thailand
Scotland,,2023-07-27,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Denmark,field,Scotland,Denmark
Malaysia,,2023-07-27,"Bayuemas Oval, Kuala Lumpur",Bhutan,field,Malaysia,Bhutan
Italy,,2023-07-28,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Italy,field,Germany,Italy
Jersey,,2023-07-28,"Goldenacre, Edinburgh",Denmark,field,Jersey,Denmark
Scotland,,2023-07-28,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Ireland,field,Scotland,Ireland
Vanuatu,,2023-07-28,"Amini Park, Port Moresby",Vanuatu,field,Japan,Vanuatu
Thailand,,2023-07-28,"Bayuemas Oval, Kuala Lumpur",Myanmar,field,Thailand,Myanmar
Papua New Guinea,,2023-07-28,"Amini Park, Port Moresby",Philippines,field,Papua New Guinea,Philippines
Papua New Guinea,,2023-07-29,"Amini Park, Port Moresby",Japan,bat,Japan,Papua New Guinea
Vanuatu,,2023-07-29,"Amini Park, Port Moresby",Philippines,bat,Philippines,Vanuatu
Malaysia,,2023-07-30,"Bayuemas Oval, Kuala Lumpur",Myanmar,field,Malaysia,Myanmar
Bhutan,,2023-07-30,"Bayuemas Oval, Kuala Lumpur",Bhutan,bat,Bhutan,China
Thailand,,2023-07-31,"Bayuemas Oval, Kuala Lumpur",Thailand,field,Bhutan,Thailand
China,,2023-07-31,"Bayuemas Oval, Kuala Lumpur",China,field,Myanmar,China
Malaysia,,2023-08-01,"Bayuemas Oval, Kuala Lumpur",Malaysia,field,Thailand,Malaysia
West Indies,,2023-08-03,"Brian Lara Stadium, Tarouba, Trinidad",West Indies,bat,West Indies,India
Hungary,,2023-08-05,"GB Oval, Szodliget",Hungary,bat,Hungary,Croatia
West Indies,,2023-08-06,"Providence Stadium, Guyana",India,bat,India,West Indies
Hungary,,2023-08-06,"GB Oval, Szodliget",Croatia,bat,Croatia,Hungary
India,,2023-08-08,"Providence Stadium, Guyana",West Indies,bat,West Indies,India
India,,2023-08-12,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",West Indies,bat,West Indies,India
West Indies,,2023-08-13,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",India,bat,India,West Indies
Guernsey,,2023-08-14,"Sportpark Het Schootsveld, Deventer",Germany,bat,Germany,Guernsey
Germany,,2023-08-14,"Sportpark Het Schootsveld, Deventer",Germany,field,Guernsey,Germany
Guernsey,,2023-08-15,"Sportpark Het Schootsveld, Deventer",Guernsey,bat,Guernsey,Germany
New Zealand,,2023-08-17,Dubai International Cricket Stadium,United Arab Emirates,field,New Zealand,United Arab Emirates
Malta,,2023-08-18,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,bat,Romania,Malta
India,,2023-08-18,"Malahide, Dublin",India,field,Ireland,India
United Arab Emirates,,2023-08-19,Dubai International Cricket Stadium,United Arab Emirates,field,New Zealand,United Arab Emirates
Malta,,2023-08-19,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,bat,Romania,Malta
Romania,,2023-08-19,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,field,Malta,Romania
India,,2023-08-20,"Malahide, Dublin",Ireland,field,India,Ireland
Romania,,2023-08-20,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,field,Malta,Romania
Uganda,,2023-08-20,"Gahanga International Cricket Stadium, Rwanda",Uganda,bat,Uganda,Rwanda
Romania,,2023-08-20,"Moara Vlasiei Cricket Ground, Ilfov County",Malta,field,Romania,Malta
Uganda,,2023-08-20,"Gahanga International Cricket Stadium, Rwanda",Tanzania,bat,Tanzania,Uganda
New Zealand,,2023-08-20,Dubai International Cricket Stadium,United Arab Emirates,field,New Zealand,United Arab Emirates
Tanzania,,2023-08-21,"Gahanga International Cricket Stadium, Rwanda",Uganda,bat,Uganda,Tanzania
Tanzania,,2023-08-22,"Gahanga International Cricket Stadium, Rwanda",Tanzania,field,Rwanda,Tanzania
Uganda,,2023-08-22,"Gahanga International Cricket Stadium, Rwanda",Rwanda,field,Uganda,Rwanda
Uganda,,2023-08-24,"Gahanga International Cricket Stadium, Rwanda",Tanzania,field,Uganda,Tanzania
Uganda,,2023-08-24,"Gahanga International Cricket Stadium, Rwanda",Rwanda,field,Uganda,Rwanda
Tanzania,,2023-08-25,"Gahanga International Cricket Stadium, Rwanda",Tanzania,field,Rwanda,Tanzania
Uganda,,2023-08-25,"Gahanga International Cricket Stadium, Rwanda",Uganda,bat,Uganda,Tanzania
Uganda,,2023-08-27,"Gahanga International Cricket Stadium, Rwanda",Rwanda,bat,Rwanda,Uganda
Tanzania,,2023-08-27,"Gahanga International Cricket Stadium, Rwanda",Rwanda,field,Tanzania,Rwanda
Uganda,,2023-08-28,"Gahanga International Cricket Stadium, Rwanda",Uganda,bat,Uganda,Tanzania
Uganda,,2023-08-28,"Gahanga International Cricket Stadium, Rwanda",Rwanda,bat,Rwanda,Uganda
Tanzania,,2023-08-30,"Gahanga International Cricket Stadium, Rwanda",Rwanda,field,Tanzania,Rwanda
England,,2023-08-30,"Riverside Ground, Chester-le-Street",England,field,New Zealand,England
Uganda,,2023-08-30,"Gahanga International Cricket Stadium, Rwanda",Tanzania,field,Uganda,Tanzania
Australia,,2023-08-30,"Kingsmead, Durban",South Africa,field,Australia,South Africa
Uganda,,2023-08-31,"Gahanga International Cricket Stadium, Rwanda",Rwanda,bat,Rwanda,Uganda
Tanzania,,2023-08-31,"Gahanga International Cricket Stadium, Rwanda",Tanzania,bat,Tanzania,Rwanda
Australia,,2023-09-01,"Kingsmead, Durban",Australia,field,South Africa,Australia
England,,2023-09-01,"Old Trafford, Manchester",England,bat,England,New Zealand
Australia,,2023-09-03,"Kingsmead, Durban",South Africa,bat,South Africa,Australia
New Zealand,,2023-09-03,"Edgbaston, Birmingham",New Zealand,bat,New Zealand,England
New Zealand,,2023-09-05,"Trent Bridge, Nottingham",England,bat,England,New Zealand
Kuwait,,2023-09-15,"West End Park International Cricket Stadium, Doha",Saudi Arabia,bat,Saudi Arabia,Kuwait
Qatar,,2023-09-15,"West End Park International Cricket Stadium, Doha",Bahrain,field,Qatar,Bahrain
Kuwait,,2023-09-16,"West End Park International Cricket Stadium, Doha",Kuwait,field,Bahrain,Kuwait
Bahrain,,2023-09-18,"West End Park International Cricket Stadium, Doha",Saudi Arabia,bat,Saudi Arabia,Bahrain
Qatar,,2023-09-18,"West End Park International Cricket Stadium, Doha",Kuwait,field,Qatar,Kuwait
Malaysia,,2023-09-19,"Bayuemas Oval, Kuala Lumpur",Hong Kong,field,Malaysia,Hong Kong
Bahrain,,2023-09-19,"West End Park International Cricket Stadium, Doha",Oman,field,Bahrain,Oman
United Arab Emirates,,2023-09-20,"West End Park International Cricket Stadium, Doha",United Arab Emirates,bat,United Arab Emirates,Qatar
Papua New Guinea,,2023-09-20,"Bayuemas Oval, Kuala Lumpur",Malaysia,bat,Malaysia,Papua New Guinea
Malaysia,,2023-09-22,"Bayuemas Oval, Kuala Lumpur",Malaysia,bat,Malaysia,Hong Kong
Bahrain,,2023-09-22,"West End Park International Cricket Stadium, Doha",Bahrain,bat,Bahrain,United Arab Emirates
Oman,,2023-09-22,"West End Park International Cricket Stadium, Doha",Oman,bat,Oman,Kuwait
Papua New Guinea,,2023-09-23,"Bayuemas Oval, Kuala Lumpur",Malaysia,bat,Malaysia,Papua New Guinea
Oman,,2023-09-23,"West End Park International Cricket Stadium, Doha",United Arab Emirates,bat,United Arab Emirates,Oman
Papua New Guinea,,2023-09-24,"Bayuemas Oval, Kuala Lumpur",Papua New Guinea,field,Hong Kong,Papua New Guinea
Nepal,,2023-09-27,Zhejiang University of Technology Cricket Field,Mongolia,field,Nepal,Mongolia
Kuwait,,2023-09-28,"West End Park International Cricket Stadium, Doha",Kuwait,field,Qatar,Kuwait
Kuwait,,2023-09-29,"West End Park International Cricket Stadium, Doha",Kuwait,field,Maldives,Kuwait
Estonia,,2023-09-30,Europa Sports Complex,Estonia,field,Gibraltar,Estonia
Cayman Islands,,2023-09-30,"White Hill Field, Sandys Parish",Panama,bat,Panama,Cayman Islands
Bermuda,,2023-09-30,"White Hill Field, Sandys Parish",Canada,field,Bermuda,Canada
Gibraltar,,2023-09-30,Europa Sports Complex,Gibraltar,field,Estonia,Gibraltar
Bermuda,,2023-10-01,"White Hill Field, Sandys Parish",Panama,bat,Panama,Bermuda
Qatar,,2023-10-01,"West End Park International Cricket Stadium, Doha",Qatar,field,Maldives,Qatar
Saudi Arabia,,2023-10-01,"West End Park International Cricket Stadium, Doha",Kuwait,bat,Kuwait,Saudi Arabia
Canada,,2023-10-01,"White Hill Field, Sandys Parish",Canada,bat,Canada,Cayman Islands
Saudi Arabia,,2023-10-02,"West End Park International Cricket Stadium, Doha",Maldives,bat,Maldives,Saudi Arabia
Kuwait,,2023-10-02,"West End Park International Cricket Stadium, Doha",Kuwait,field,Qatar,Kuwait
Canada,,2023-10-03,"National Stadium, Hamilton",Canada,bat,Canada,Panama
India,,2023-10-03,Zhejiang University of Technology Cricket Field,India,bat,India,Nepal
Pakistan,,2023-10-03,Zhejiang University of Technology Cricket Field,Hong Kong,field,Pakistan,Hong Kong
Bermuda,,2023-10-03,"National Stadium, Hamilton",Bermuda,bat,Bermuda,Cayman Islands
Kuwait,,2023-10-04,"West End Park International Cricket Stadium, Doha",Kuwait,field,Maldives,Kuwait
Bermuda,,2023-10-04,"National Stadium, Hamilton",Bermuda,field,Panama,Bermuda
Ghana,,2023-10-04,"Tafawa Balewa Square Cricket Oval, Lagos",Ghana,field,Sierra Leone,Ghana
Nigeria,,2023-10-04,"Tafawa Balewa Square Cricket Oval, Lagos",Nigeria,bat,Nigeria,Rwanda
Canada,,2023-10-04,"National Stadium, Hamilton",Canada,bat,Canada,Cayman Islands
Bangladesh,,2023-10-04,Zhejiang University of Technology Cricket Field,Bangladesh,bat,Bangladesh,Malaysia
Gibraltar,,2023-10-05,Europa Sports Complex,Gibraltar,field,Serbia,Gibraltar
Kuwait,,2023-10-05,"West End Park International Cricket Stadium, Doha",Kuwait,field,Saudi Arabia,Kuwait
Qatar,,2023-10-05,"West End Park International Cricket Stadium, Doha",Maldives,field,Qatar,Maldives
Gibraltar,,2023-10-05,Europa Sports Complex,Serbia,bat,Serbia,Gibraltar
Nigeria,,2023-10-05,"Tafawa Balewa Square Cricket Oval, Lagos",Sierra Leone,field,Nigeria,Sierra Leone
Rwanda,,2023-10-06,"Tafawa Balewa Square Cricket Oval, Lagos",Rwanda,bat,Rwanda,Sierra Leone
Nigeria,,2023-10-06,"Tafawa Balewa Square Cricket Oval, Lagos",Ghana,field,Nigeria,Ghana
India,,2023-10-06,Zhejiang University of Technology Cricket Field,India,field,Bangladesh,India
Nigeria,,2023-10-07,"Tafawa Balewa Square Cricket Oval, Lagos",Nigeria,field,Rwanda,Nigeria
Bangladesh,,2023-10-07,Zhejiang University of Technology Cricket Field,Bangladesh,field,Pakistan,Bangladesh
Canada,,2023-10-07,"National Stadium, Hamilton",Canada,bat,Canada,Bermuda
Nigeria,,2023-10-08,"Tafawa Balewa Square Cricket Oval, Lagos",Sierra Leone,bat,Sierra Leone,Nigeria
Rwanda,,2023-10-08,"Tafawa Balewa Square Cricket Oval, Lagos",Rwanda,bat,Rwanda,Ghana
Nigeria,,2023-10-10,"Tafawa Balewa Square Cricket Oval, Lagos",Nigeria,bat,Nigeria,Ghana
Sierra Leone,,2023-10-10,"Tafawa Balewa Square Cricket Oval, Lagos",Sierra Leone,bat,Sierra Leone,Rwanda
Rwanda,,2023-10-11,"Tafawa Balewa Square Cricket Oval, Lagos",Sierra Leone,bat,Sierra Leone,Rwanda
Nigeria,,2023-10-11,"Tafawa Balewa Square Cricket Oval, Lagos",Nigeria,field,Ghana,Nigeria
Nigeria,,2023-10-12,"Tafawa Balewa Square Cricket Oval, Lagos",Sierra Leone,field,Nigeria,Sierra Leone
Rwanda,,2023-10-12,"Tafawa Balewa Square Cricket Oval, Lagos",Ghana,bat,Ghana,Rwanda
Nigeria,,2023-10-14,"Tafawa Balewa Square Cricket Oval, Lagos",Nigeria,field,Rwanda,Nigeria
Ghana,,2023-10-14,"Tafawa Balewa Square Cricket Oval, Lagos",Sierra Leone,field,Ghana,Sierra Leone
Luxembourg,,2023-10-15,Europa Sports Complex,Luxembourg,bat,Luxembourg,Gibraltar
Nigeria,,2023-10-15,"Tafawa Balewa Square Cricket Oval, Lagos",Nigeria,bat,Nigeria,Rwanda
Sierra Leone,,2023-10-15,"Tafawa Balewa Square Cricket Oval, Lagos",Ghana,bat,Ghana,Sierra Leone
Gibraltar,,2023-10-15,Europa Sports Complex,Luxembourg,field,Gibraltar,Luxembourg
Mexico,,2023-10-18,St Georges Quilmes,Chile,bat,Chile,Mexico
Nepal,,2023-10-18,Mulpani Cricket Ground,Nepal,field,United Arab Emirates,Nepal
Nepal,,2023-10-19,Mulpani Cricket Ground,Nepal,field,Hong Kong,Nepal
Argentina,,2023-10-19,St Georges Quilmes,Argentina,field,Mexico,Argentina
Argentina,,2023-10-20,St Georges Quilmes,Chile,bat,Chile,Argentina
Nepal,,2023-10-21,Mulpani Cricket Ground,Nepal,bat,Nepal,Hong Kong
United Arab Emirates,,2023-10-22,Mulpani Cricket Ground,United Arab Emirates,field,Hong Kong,United Arab Emirates
Nepal,,2023-10-23,Mulpani Cricket Ground,Nepal,field,United Arab Emirates,Nepal
Namibia,,2023-10-24,"Wanderers Cricket Ground, Windhoek",Zimbabwe,bat,Zimbabwe,Namibia
Hong Kong,,2023-10-25,Mulpani Cricket Ground,Hong Kong,bat,Hong Kong,United Arab Emirates
Zimbabwe,,2023-10-25,"Wanderers Cricket Ground, Windhoek",Zimbabwe,field,Namibia,Zimbabwe
United Arab Emirates,,2023-10-27,"Tribhuvan University International Cricket Ground, Kirtipur",United Arab Emirates,field,Nepal,United Arab Emirates
Zimbabwe,,2023-10-27,"United Cricket Club Ground, Windhoek",Namibia,bat,Namibia,Zimbabwe
Namibia,,2023-10-29,"United Cricket Club Ground, Windhoek",Zimbabwe,bat,Zimbabwe,Namibia
Nepal,,2023-10-30,"Tribhuvan University International Cricket Ground, Kirtipur",Singapore,bat,Singapore,Nepal
United Arab Emirates,,2023-10-30,Mulpani Cricket Ground,United Arab Emirates,field,Bahrain,United Arab Emirates
Oman,,2023-10-30,"Tribhuvan University International Cricket Ground, Kirtipur",Oman,bat,Oman,Malaysia
Hong Kong,,2023-10-30,Mulpani Cricket Ground,Kuwait,field,Hong Kong,Kuwait
Namibia,,2023-10-30,"United Cricket Club Ground, Windhoek",Zimbabwe,field,Namibia,Zimbabwe
Bahrain,,2023-10-31,Mulpani Cricket Ground,Hong Kong,field,Bahrain,Hong Kong
Oman,,2023-10-31,"Tribhuvan University International Cricket Ground, Kirtipur",Singapore,field,Oman,Singapore
Nepal,,2023-10-31,"Tribhuvan University International Cricket Ground, Kirtipur",Malaysia,bat,Malaysia,Nepal
United Arab Emirates,,2023-10-31,Mulpani Cricket Ground,Kuwait,bat,Kuwait,United Arab Emirates
Kuwait,,2023-11-02,Mulpani Cricket Ground,Kuwait,field,Bahrain,Kuwait
United Arab Emirates,,2023-11-02,Mulpani Cricket Ground,Hong Kong,field,United Arab Emirates,Hong Kong
Malaysia,,2023-11-02,"Tribhuvan University International Cricket Ground, Kirtipur",Malaysia,bat,Malaysia,Singapore
Oman,,2023-11-02,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,field,Oman,Nepal
Oman,,2023-11-03,"Tribhuvan University International Cricket Ground, Kirtipur",Bahrain,bat,Bahrain,Oman
Nepal,,2023-11-03,Mulpani Cricket Ground,United Arab Emirates,bat,United Arab Emirates,Nepal
Indonesia,,2023-11-20,Udayana Cricket Ground,Cambodia,bat,Cambodia,Indonesia
Indonesia,,2023-11-20,Udayana Cricket Ground,Cambodia,bat,Cambodia,Indonesia
Cambodia,,2023-11-21,Udayana Cricket Ground,Cambodia,field,Indonesia,Cambodia
Indonesia,,2023-11-21,Udayana Cricket Ground,Cambodia,field,Indonesia,Cambodia
Namibia,,2023-11-22,"Wanderers Cricket Ground, Windhoek",Namibia,field,Zimbabwe,Namibia
Uganda,,2023-11-22,"Wanderers Cricket Ground, Windhoek",Uganda,field,Tanzania,Uganda
Kenya,,2023-11-22,"United Cricket Club Ground, Windhoek",Rwanda,field,Kenya,Rwanda
Cambodia,,2023-11-22,Udayana Cricket Ground,Cambodia,field,Indonesia,Cambodia
Zimbabwe,,2023-11-23,"United Cricket Club Ground, Windhoek",Zimbabwe,field,Tanzania,Zimbabwe
India,,2023-11-23,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",India,field,Australia,India
Kenya,,2023-11-23,"United Cricket Club Ground, Windhoek",Kenya,field,Nigeria,Kenya
Indonesia,,2023-11-23,Udayana Cricket Ground,Indonesia,field,Cambodia,Indonesia
Namibia,,2023-11-24,"Wanderers Cricket Ground, Windhoek",Namibia,field,Uganda,Namibia
Kenya,,2023-11-25,"Wanderers Cricket Ground, Windhoek",Tanzania,field,Kenya,Tanzania
Namibia,,2023-11-25,"Wanderers Cricket Ground, Windhoek",Rwanda,field,Namibia,Rwanda
India,,2023-11-26,"Greenfield International Stadium, Thiruvananthapuram",Australia,field,India,Australia
Uganda,,2023-11-26,"United Cricket Club Ground, Windhoek",Uganda,field,Zimbabwe,Uganda
Nigeria,,2023-11-26,"United Cricket Club Ground, Windhoek",Tanzania,bat,Tanzania,Nigeria
Namibia,,2023-11-27,"United Cricket Club Ground, Windhoek",Namibia,field,Kenya,Namibia
Uganda,,2023-11-27,"United Cricket Club Ground, Windhoek",Nigeria,bat,Nigeria,Uganda
Zimbabwe,,2023-11-27,"Wanderers Cricket Ground, Windhoek",Rwanda,field,Zimbabwe,Rwanda
Australia,,2023-11-28,"Barsapara Cricket Stadium, Guwahati",Australia,field,India,Australia
Namibia,,2023-11-28,"Wanderers Cricket Ground, Windhoek",Tanzania,field,Namibia,Tanzania
Tanzania,,2023-11-29,"Wanderers Cricket Ground, Windhoek",Rwanda,field,Tanzania,Rwanda
Zimbabwe,,2023-11-29,"United Cricket Club Ground, Windhoek",Nigeria,bat,Nigeria,Zimbabwe
Uganda,,2023-11-29,"Wanderers Cricket Ground, Windhoek",Uganda,bat,Uganda,Kenya
Namibia,,2023-11-30,"Wanderers Cricket Ground, Windhoek",Nigeria,bat,Nigeria,Namibia
Uganda,,2023-11-30,"Wanderers Cricket Ground, Windhoek",Uganda,field,Rwanda,Uganda
Zimbabwe,,2023-11-30,"United Cricket Club Ground, Windhoek",Kenya,field,Zimbabwe,Kenya
India,,2023-12-01,"Shaheed Veer Narayan Singh International Stadium, Raipur",Australia,field,India,Australia
India,,2023-12-03,"M Chinnaswamy Stadium, Bengaluru",Australia,field,India,Australia
Zimbabwe,,2023-12-07,Harare Sports Club,Zimbabwe,field,Ireland,Zimbabwe
Ireland,,2023-12-09,Harare Sports Club,Ireland,field,Zimbabwe,Ireland
Ireland,,2023-12-10,Harare Sports Club,Ireland,field,Zimbabwe,Ireland
South Africa,,2023-12-12,"St George's Park, Gqeberha",South Africa,field,India,South Africa
West Indies,,2023-12-12,"Kensington Oval, Bridgetown, Barbados",West Indies,field,England,West Indies
West Indies,,2023-12-14,"National Cricket Stadium, St George's, Grenada",England,field,West Indies,England
India,,2023-12-14,"The Wanderers Stadium, Johannesburg",South Africa,field,India,South Africa
England,,2023-12-16,"National Cricket Stadium, St George's, Grenada",England,field,West Indies,England
England,,2023-12-19,"Brian Lara Stadium, Tarouba, Trinidad",West Indies,field,England,West Indies
West Indies,,2023-12-21,"Brian Lara Stadium, Tarouba, Trinidad",West Indies,field,England,West Indies
Philippines,,2023-12-22,Udayana Cricket Ground,Indonesia,field,Philippines,Indonesia
Indonesia,,2023-12-23,Udayana Cricket Ground,Philippines,field,Indonesia,Philippines
Indonesia,,2023-12-23,Udayana Cricket Ground,Indonesia,field,Philippines,Indonesia
Philippines,,2023-12-24,Udayana Cricket Ground,Philippines,field,Indonesia,Philippines
Philippines,,2023-12-26,Udayana Cricket Ground,Philippines,field,Indonesia,Philippines
Bangladesh,,2023-12-27,"McLean Park, Napier",Bangladesh,field,New Zealand,Bangladesh
New Zealand,,2023-12-31,"Bay Oval, Mount Maunganui",New Zealand,field,Bangladesh,New Zealand
New Zealand,,2024-01-12,"Eden Park, Auckland",Pakistan,field,New Zealand,Pakistan
Sri Lanka,,2024-01-14,"R Premadasa Stadium, Colombo",Sri Lanka,field,Zimbabwe,Sri Lanka
New Zealand,,2024-01-14,"Seddon Park, Hamilton",Pakistan,field,New Zealand,Pakistan
Zimbabwe,,2024-01-16,"R Premadasa Stadium, Colombo",Zimbabwe,field,Sri Lanka,Zimbabwe
